,Easting,Northing,Height,LineName,Date,Time,Vessel,geometry,distance
1,523890.297,4243428.383,-34.784,M1618,2022-02-06,21:05:02,Fugro Brasilis,POINT (523890.297 4243428.383),0.21683403700297804
465,523878.37200000003,4243329.313,-34.849000000000004,M1618,2022-02-06,21:05:48,Fugro Brasilis,POINT (523878.372 4243329.313),100.05918542378028
466,523878.36100000003,4243329.095,-34.861,M1618,2022-02-06,21:05:48,Fugro Brasilis,POINT (523878.361 4243329.095),100.27746277063376
929,523866.71,4243230.06,-34.871,M1618,2022-02-06,21:06:34,Fugro Brasilis,POINT (523866.71 4243230.06),200.07278685659384
930,523866.691,4243229.844,-34.859,M1618,2022-02-06,21:06:35,Fugro Brasilis,POINT (523866.691 4243229.844),200.28962089452966
1394,523853.784,4243130.8780000005,-34.449,M1618,2022-02-06,21:07:21,Fugro Brasilis,POINT (523853.784 4243130.878),300.1634126369044
1857,523841.607,4243031.782,-34.633,M1618,2022-02-06,21:08:07,Fugro Brasilis,POINT (523841.607 4243031.782),400.0989226772062
2321,523828.672,4242932.755,-34.738,M1618,2022-02-06,21:08:54,Fugro Brasilis,POINT (523828.672 4242932.755),500.05570932900355
2322,523828.648,4242932.5430000005,-34.745,M1618,2022-02-06,21:08:54,Fugro Brasilis,POINT (523828.648 4242932.543000001),500.2690634940202
2788,523813.992,4242833.978,-34.854,M1618,2022-02-06,21:09:40,Fugro Brasilis,POINT (523813.992 4242833.978),600.015321373783
2789,523813.971,4242833.767,-34.858000000000004,M1618,2022-02-06,21:09:40,Fugro Brasilis,POINT (523813.971 4242833.767),600.2273638224902
3251,523800.79,4242734.855,-34.611,M1618,2022-02-06,21:10:27,Fugro Brasilis,POINT (523800.79 4242734.855),700.0798543590276
3252,523800.75200000004,4242734.6389999995,-34.6,M1618,2022-02-06,21:10:27,Fugro Brasilis,POINT (523800.752 4242734.639),700.2991714819442
3715,523788.38399999996,4242635.62,-34.403,M1618,2022-02-06,21:11:13,Fugro Brasilis,POINT (523788.384 4242635.62),800.1631768394789
4184,523777.727,4242536.3,-34.561,M1618,2022-02-06,21:12:00,Fugro Brasilis,POINT (523777.727 4242536.3),900.1315835075488
4651,523765.50200000004,4242437.275,-34.464,M1618,2022-02-06,21:12:47,Fugro Brasilis,POINT (523765.502 4242437.275),1000.09068900061
5117,523753.89,4242338.039,-34.708,M1618,2022-02-06,21:13:33,Fugro Brasilis,POINT (523753.89 4242338.039),1100.0753084649066
5118,523753.87100000004,4242337.822,-34.705999999999996,M1618,2022-02-06,21:13:33,Fugro Brasilis,POINT (523753.871 4242337.822),1100.2931386741902
5586,523741.925,4242238.745,-34.69,M1618,2022-02-06,21:14:20,Fugro Brasilis,POINT (523741.925 4242238.745),1200.1564912843567
6050,523729.864,4242139.5819999995,-34.87,M1618,2022-02-06,21:15:07,Fugro Brasilis,POINT (523729.864 4242139.581999999),1300.1017500915284
6514,523717.521,4242040.509,-34.685,M1618,2022-02-06,21:15:53,Fugro Brasilis,POINT (523717.521 4242040.509),1400.005210483708
6515,523717.49299999996,4242040.295,-34.692,M1618,2022-02-06,21:15:53,Fugro Brasilis,POINT (523717.493 4242040.295),1400.2210344857765
6978,523705.218,4241941.228999999,-34.692,M1618,2022-02-06,21:16:39,Fugro Brasilis,POINT (523705.218 4241941.228999999),1500.0901595108705
7442,523692.963,4241842.068,-34.949,M1618,2022-02-06,21:17:26,Fugro Brasilis,POINT (523692.963 4241842.068),1600.140240714206
7907,523680.721,4241743.149,-34.59,M1618,2022-02-06,21:18:12,Fugro Brasilis,POINT (523680.721 4241743.149),1700.0781924360763
7908,523680.686,4241742.936000001,-34.598,M1618,2022-02-06,21:18:12,Fugro Brasilis,POINT (523680.686 4241742.936000001),1700.2940488693812
8375,523668.985,4241643.844,-34.745,M1618,2022-02-06,21:18:59,Fugro Brasilis,POINT (523668.985 4241643.844),1800.1667817793623
8840,523656.605,4241544.795,-34.611,M1618,2022-02-06,21:19:46,Fugro Brasilis,POINT (523656.605 4241544.795),1900.0521929666015
8841,523656.571,4241544.585,-34.591,M1618,2022-02-06,21:19:46,Fugro Brasilis,POINT (523656.571 4241544.585),1900.2649275429715
9305,523643.285,4241445.742,-34.905,M1618,2022-02-06,21:20:32,Fugro Brasilis,POINT (523643.285 4241445.742),2000.0599479000794
9306,523643.25700000004,4241445.54,-34.879,M1618,2022-02-06,21:20:32,Fugro Brasilis,POINT (523643.257 4241445.54),2000.2638792606585
9768,523627.82700000005,4241346.959,-34.802,M1618,2022-02-06,21:21:18,Fugro Brasilis,POINT (523627.827 4241346.959),2100.129398514505
10234,523613.06299999997,4241248.205,-34.592,M1618,2022-02-06,21:22:05,Fugro Brasilis,POINT (523613.063 4241248.205),2200.025670871887
10235,523613.026,4241248.001,-34.586,M1618,2022-02-06,21:22:05,Fugro Brasilis,POINT (523613.026 4241248.001),2200.2329991139577
10701,523601.731,4241148.841,-34.5,M1618,2022-02-06,21:22:52,Fugro Brasilis,POINT (523601.731 4241148.841),2300.162561038743
11166,523590.766,4241049.652,-34.941,M1618,2022-02-06,21:23:38,Fugro Brasilis,POINT (523590.766 4241049.652),2400.0340039883454
11167,523590.75399999996,4241049.433999999,-34.924,M1618,2022-02-06,21:23:38,Fugro Brasilis,POINT (523590.754 4241049.433999999),2400.25233401411
11631,523577.499,4240950.487,-34.711999999999996,M1618,2022-02-06,21:24:25,Fugro Brasilis,POINT (523577.499 4240950.487),2500.1585925379695
12094,523564.91799999995,4240851.548,-34.919000000000004,M1618,2022-02-06,21:25:11,Fugro Brasilis,POINT (523564.9179999999 4240851.548),2600.131802023154
12560,523553.624,4240752.356000001,-34.67,M1618,2022-02-06,21:25:58,Fugro Brasilis,POINT (523553.624 4240752.356000001),2700.085283555404
12561,523553.599,4240752.143999999,-34.646,M1618,2022-02-06,21:25:58,Fugro Brasilis,POINT (523553.599 4240752.143999999),2700.29875252392
13024,523540.992,4240653.232,-34.82,M1618,2022-02-06,21:26:44,Fugro Brasilis,POINT (523540.992 4240653.232),2800.0989153198166
13489,523528.669,4240554.215,-34.634,M1618,2022-02-06,21:27:30,Fugro Brasilis,POINT (523528.669 4240554.215),2900.000079943016
13490,523528.62700000004,4240554.0030000005,-34.604,M1618,2022-02-06,21:27:31,Fugro Brasilis,POINT (523528.627 4240554.003),2900.216200279229
13952,523517.18200000003,4240454.93,-34.695,M1618,2022-02-06,21:28:17,Fugro Brasilis,POINT (523517.182 4240454.93),3000.07832324589
13953,523517.152,4240454.715,-34.695,M1618,2022-02-06,21:28:17,Fugro Brasilis,POINT (523517.152 4240454.715),3000.295406179207
14417,523504.667,4240355.671,-34.673,M1618,2022-02-06,21:29:03,Fugro Brasilis,POINT (523504.667 4240355.671),3100.2011294849985
14880,523492.105,4240256.762,-34.676,M1618,2022-02-06,21:29:50,Fugro Brasilis,POINT (523492.105 4240256.762),3200.0260032719275
14881,523492.075,4240256.545,-34.688,M1618,2022-02-06,21:29:50,Fugro Brasilis,POINT (523492.075 4240256.545),3200.2450671897136
15346,523479.778,4240157.511,-34.806,M1618,2022-02-06,21:30:36,Fugro Brasilis,POINT (523479.778 4240157.511),3300.1513339545677
15812,523468.44899999996,4240058.254,-34.446,M1618,2022-02-06,21:31:23,Fugro Brasilis,POINT (523468.449 4240058.254),3400.1262552164817
16274,523456.905,4239958.936000001,-34.773,M1618,2022-02-06,21:32:09,Fugro Brasilis,POINT (523456.905 4239958.936000001),3500.1822957829895
16736,523445.095,4239859.691000001,-34.979,M1618,2022-02-06,21:32:55,Fugro Brasilis,POINT (523445.095 4239859.691000001),3600.2043950234165
17200,523432.31299999997,4239760.617,-34.87,M1618,2022-02-06,21:33:42,Fugro Brasilis,POINT (523432.313 4239760.617),3700.1939903732987
